position,surah,ayah,position_in_ayah,page,line,juz,number,number_last,text,rasm_imlai,marks,resegmented
14074,5,25,12,112,3,6,14075,14075,ٱلۡقَوۡمِ,القوم,,0
14075,5,25,13,112,4,6,14076,14076,ٱلۡفَٰسِقِينَ,الفاسقين,,0
14076,5,26,1,112,4,6,14077,14077,قَالَ,قال,,0
14077,5,26,2,112,4,6,14078,14078,فَإِنَّهَا,فإنها,,0
14078,5,26,3,112,4,6,14079,14079,مُحَرَّمَةٌ,محرمة,,0
14079,5,26,4,112,4,6,14080,14080,عَلَيۡهِمۡ,عليهم,waqf:after:ۛ,0
14080,5,26,5,112,4,6,14081,14081,أَرۡبَعِينَ,أربعين,,0
14081,5,26,6,112,4,6,14082,14082,سَنَةࣰ,سنة,waqf:after:ۛ,0
14082,5,26,7,112,5,6,14083,14083,يَتِيهُونَ,يتيهون,,0
14083,5,26,8,112,5,6,14084,14084,فِي,في,,0
14084,5,26,9,112,5,6,14085,14085,ٱلۡأَرۡضِ,الأرض,waqf:after:ۚ,0
14085,5,26,10,112,5,6,14086,14086,فَلَا,فلا,,0
14086,5,26,11,112,5,6,14087,14087,تَأۡسَ,تأس,,0
14087,5,26,12,112,5,6,14088,14088,عَلَى,على,,0
14088,5,26,13,112,5,6,14089,14089,ٱلۡقَوۡمِ,القوم,,0
14089,5,26,14,112,5,6,14090,14090,ٱلۡفَٰسِقِينَ,الفاسقين,,0
14090,5,27,1,112,6,6,14091,14091,وَٱتۡلُ,واتل,division:before:۞,0
14091,5,27,2,112,6,6,14092,14092,عَلَيۡهِمۡ,عليهم,,0
14092,5,27,3,112,6,6,14093,14093,نَبَأَ,نبأ,,0
14093,5,27,4,112,6,6,14094,14094,ٱبۡنَيۡ,ابني,,0
14094,5,27,5,112,6,6,14095,14095,ءَادَمَ,آدم,,0
14095,5,27,6,112,6,6,14096,14096,بِٱلۡحَقِّ,بالحق,,0
14096,5,27,7,112,6,6,14097,14097,إِذۡ,إذ,,0
14097,5,27,8,112,6,6,14098,14098,قَرَّبَا,قربا,,0
14098,5,27,9,112,6,6,14099,14099,قُرۡبَانࣰا,قربانا,,0
14099,5,27,10,112,6,6,14100,14100,فَتُقُبِّلَ,فتقبل,,0
14100,5,27,11,112,7,6,14101,14101,مِنۡ,من,,0
14101,5,27,12,112,7,6,14102,14102,أَحَدِهِمَا,أحدهما,,0
14102,5,27,13,112,7,6,14103,14103,وَلَمۡ,ولم,,0
14103,5,27,14,112,7,6,14104,14104,يُتَقَبَّلۡ,يتقبل,,0
14104,5,27,15,112,7,6,14105,14105,مِنَ,من,,0
14105,5,27,16,112,7,6,14106,14106,ٱلۡأٓخَرِ,الآخر,,0
14106,5,27,17,112,7,6,14107,14107,قَالَ,قال,,0
14107,5,27,18,112,7,6,14108,14108,لَأَقۡتُلَنَّكَ,لأقتلنك,waqf:after:ۖ,0
14108,5,27,19,112,8,6,14109,14109,قَالَ,قال,,0
14109,5,27,20,112,8,6,14110,14110,إِنَّمَا,إنما,,0
14110,5,27,21,112,8,6,14111,14111,يَتَقَبَّلُ,يتقبل,,0
14111,5,27,22,112,8,6,14112,14112,ٱللَّهُ,الله,,0
14112,5,27,23,112,8,6,14113,14113,مِنَ,من,,0
14113,5,27,24,112,8,6,14114,14114,ٱلۡمُتَّقِينَ,المتقين,,0
14114,5,28,1,112,8,6,14115,14115,لَئِنۢ,لئن,,0
14115,5,28,2,112,8,6,14116,14116,بَسَطتَ,بسطت,,0
14116,5,28,3,112,8,6,14117,14117,إِلَيَّ,إلي,,0
14117,5,28,4,112,8,6,14118,14118,يَدَكَ,يدك,,0
14118,5,28,5,112,9,6,14119,14119,لِتَقۡتُلَنِي,لتقتلني,,0
14119,5,28,6,112,9,6,14120,14120,مَآ,ما,,0
14120,5,28,7,112,9,6,14121,14121,أَنَا۠,أنا,,0
14121,5,28,8,112,9,6,14122,14122,بِبَاسِطࣲ,بباسط,,0
14122,5,28,9,112,9,6,14123,14123,يَدِيَ,يدي,,0
14123,5,28,10,112,9,6,14124,14124,إِلَيۡكَ,إليك,,0
14124,5,28,11,112,9,6,14125,14125,لِأَقۡتُلَكَ,لأقتلك,waqf:after:ۖ,0
14125,5,28,12,112,9,6,14126,14126,إِنِّيٓ,إني,,0
14126,5,28,13,112,9,6,14127,14127,أَخَافُ,أخاف,,0
14127,5,28,14,112,9,6,14128,14128,ٱللَّهَ,الله,,0
14128,5,28,15,112,10,6,14129,14129,رَبَّ,رب,,0
14129,5,28,16,112,10,6,14130,14130,ٱلۡعَٰلَمِينَ,العالمين,,0
14130,5,29,1,112,10,6,14131,14131,إِنِّيٓ,إني,,0
14131,5,29,2,112,10,6,14132,14132,أُرِيدُ,أريد,,0
14132,5,29,3,112,10,6,14133,14133,أَن,أن,,0
14133,5,29,4,112,10,6,14134,14134,تَبُوٓأَ,تبوء,,0
14134,5,29,5,112,10,6,14135,14135,بِإِثۡمِي,بإثمي,,0
14135,5,29,6,112,10,6,14136,14136,وَإِثۡمِكَ,وإثمك,,0
14136,5,29,7,112,10,6,14137,14137,فَتَكُونَ,فتكون,,0
14137,5,29,8,112,11,6,14138,14138,مِنۡ,من,,0
14138,5,29,9,112,11,6,14139,14139,أَصۡحَٰبِ,أصحاب,,0
14139,5,29,10,112,11,6,14140,14140,ٱلنَّارِ,النار,waqf:after:ۚ,0
14140,5,29,11,112,11,6,14141,14141,وَذَٰلِكَ,وذلك,,0
14141,5,29,12,112,11,6,14142,14142,جَزَٰٓؤُاْ,جزاء,,0
14142,5,29,13,112,11,6,14143,14143,ٱلظَّٰلِمِينَ,الظالمين,,0
14143,5,30,1,112,11,6,14144,14144,فَطَوَّعَتۡ,فطوعت,,0
14144,5,30,2,112,12,6,14145,14145,لَهُۥ,له,,0
14145,5,30,3,112,12,6,14146,14146,نَفۡسُهُۥ,نفسه,,0
14146,5,30,4,112,12,6,14147,14147,قَتۡلَ,قتل,,0
14147,5,30,5,112,12,6,14148,14148,أَخِيهِ,أخيه,,0
14148,5,30,6,112,12,6,14149,14149,فَقَتَلَهُۥ,فقتله,,0
14149,5,30,7,112,12,6,14150,14150,فَأَصۡبَحَ,فأصبح,,0
14150,5,30,8,112,12,6,14151,14151,مِنَ,من,,0
14151,5,30,9,112,12,6,14152,14152,ٱلۡخَٰسِرِينَ,الخاسرين,,0
14152,5,31,1,112,13,6,14153,14153,فَبَعَثَ,فبعث,,0
14153,5,31,2,112,13,6,14154,14154,ٱللَّهُ,الله,,0
14154,5,31,3,112,13,6,14155,14155,غُرَابࣰا,غرابا,,0
14155,5,31,4,112,13,6,14156,14156,يَبۡحَثُ,يبحث,,0
14156,5,31,5,112,13,6,14157,14157,فِي,في,,0
14157,5,31,6,112,13,6,14158,14158,ٱلۡأَرۡضِ,الأرض,,0
14158,5,31,7,112,13,6,14159,14159,لِيُرِيَهُۥ,ليريه,,0
14159,5,31,8,112,13,6,14160,14160,كَيۡفَ,كيف,,0
14160,5,31,9,112,13,6,14161,14161,يُوَٰرِي,يواري,,0
14161,5,31,10,112,14,6,14162,14162,سَوۡءَةَ,سوأة,,0
14162,5,31,11,112,14,6,14163,14163,أَخِيهِ,أخيه,waqf:after:ۚ,0
14163,5,31,12,112,14,6,14164,14164,قَالَ,قال,,0
14164,5,31,13,112,14,6,14165,14165,يَٰوَيۡلَتَىٰٓ,ياويلتى,,0
14165,5,31,14,112,14,6,14166,14166,أَعَجَزۡتُ,أعجزت,,0
14166,5,31,15,112,14,6,14167,14167,أَنۡ,أن,,0
14167,5,31,16,112,14,6,14168,14168,أَكُونَ,أكون,,0
14168,5,31,17,112,14,6,14169,14169,مِثۡلَ,مثل,,0
14169,5,31,18,112,14,6,14170,14170,هَٰذَا,هذا,,0
14170,5,31,19,112,15,6,14171,14171,ٱلۡغُرَابِ,الغراب,,0
14171,5,31,20,112,15,6,14172,14172,فَأُوَٰرِيَ,فأواري,,0
14172,5,31,21,112,15,6,14173,14173,سَوۡءَةَ,سوأة,,0
14173,5,31,22,112,15,6,14174,14174,أَخِي,أخي,waqf:after:ۖ,0
14174,5,31,23,112,15,6,14175,14175,فَأَصۡبَحَ,فأصبح,,0
14175,5,31,24,112,15,6,14176,14176,مِنَ,من,,0
14176,5,31,25,112,15,6,14177,14177,ٱلنَّٰدِمِينَ,النادمين,,0
14177,5,32,1,113,1,6,14178,14178,مِنۡ,من,,0
14178,5,32,2,113,1,6,14179,14179,أَجۡلِ,أجل,,0
14179,5,32,3,113,1,6,14180,14180,ذَٰلِكَ,ذلك,,0
14180,5,32,4,113,1,6,14181,14181,كَتَبۡنَا,كتبنا,,0
14181,5,32,5,113,1,6,14182,14182,عَلَىٰ,على,,0
14182,5,32,6,113,1,6,14183,14183,بَنِيٓ,بني,,0
14183,5,32,7,113,1,6,14184,14184,إِسۡرَٰٓءِيلَ,إسرائيل,,0
14184,5,32,8,113,1,6,14185,14185,أَنَّهُۥ,أنه,,0
14185,5,32,9,113,1,6,14186,14186,مَن,من,,0
14186,5,32,10,113,1,6,14187,14187,قَتَلَ,قتل,,0
14187,5,32,11,113,2,6,14188,14188,نَفۡسَۢا,نفسا,,0
14188,5,32,12,113,2,6,14189,14189,بِغَيۡرِ,بغير,,0
14189,5,32,13,113,2,6,14190,14190,نَفۡسٍ,نفس,,0
14190,5,32,14,113,2,6,14191,14191,أَوۡ,أو,,0
14191,5,32,15,113,2,6,14192,14192,فَسَادࣲ,فساد,,0
14192,5,32,16,113,2,6,14193,14193,فِي,في,,0
14193,5,32,17,113,2,6,14194,14194,ٱلۡأَرۡضِ,الأرض,,0
14194,5,32,18,113,2,6,14195,14195,فَكَأَنَّمَا,فكأنما,,0
14195,5,32,19,113,2,6,14196,14196,قَتَلَ,قتل,,0
14196,5,32,20,113,3,6,14197,14197,ٱلنَّاسَ,الناس,,0
14197,5,32,21,113,3,6,14198,14198,جَمِيعࣰا,جميعا,,0
14198,5,32,22,113,3,6,14199,14199,وَمَنۡ,ومن,,0
14199,5,32,23,113,3,6,14200,14200,أَحۡيَاهَا,أحياها,,0
14200,5,32,24,113,3,6,14201,14201,فَكَأَنَّمَآ,فكأنما,,0
14201,5,32,25,113,3,6,14202,14202,أَحۡيَا,أحيا,,0
14202,5,32,26,113,3,6,14203,14203,ٱلنَّاسَ,الناس,,0
14203,5,32,27,113,4,6,14204,14204,جَمِيعࣰا,جميعا,waqf:after:ۚ,0
14204,5,32,28,113,4,6,14205,14205,وَلَقَدۡ,ولقد,,0
14205,5,32,29,113,4,6,14206,14206,جَآءَتۡهُمۡ,جاءتهم,,0
14206,5,32,30,113,4,6,14207,14207,رُسُلُنَا,رسلنا,,0
14207,5,32,31,113,4,6,14208,14208,بِٱلۡبَيِّنَٰتِ,بالبينات,,0
14208,5,32,32,113,4,6,14209,14209,ثُمَّ,ثم,,0
14209,5,32,33,113,4,6,14210,14210,إِنَّ,إن,,0
14210,5,32,34,113,4,6,14211,14211,كَثِيرࣰا,كثيرا,,0
14211,5,32,35,113,5,6,14212,14212,مِّنۡهُم,منهم,,0
14212,5,32,36,113,5,6,14213,14213,بَعۡدَ,بعد,,0
14213,5,32,37,113,5,6,14214,14214,ذَٰلِكَ,ذلك,,0
14214,5,32,38,113,5,6,14215,14215,فِي,في,,0
14215,5,32,39,113,5,6,14216,14216,ٱلۡأَرۡضِ,الأرض,,0
14216,5,32,40,113,5,6,14217,14217,لَمُسۡرِفُونَ,لمسرفون,,0
14217,5,33,1,113,5,6,14218,14218,إِنَّمَا,إنما,,0
14218,5,33,2,113,6,6,14219,14219,جَزَٰٓؤُاْ,جزاء,,0
14219,5,33,3,113,6,6,14220,14220,ٱلَّذِينَ,الذين,,0
14220,5,33,4,113,6,6,14221,14221,يُحَارِبُونَ,يحاربون,,0
14221,5,33,5,113,6,6,14222,14222,ٱللَّهَ,الله,,0
14222,5,33,6,113,6,6,14223,14223,وَرَسُولَهُۥ,ورسوله,,0
14223,5,33,7,113,6,6,14224,14224,وَيَسۡعَوۡنَ,ويسعون,,0
14224,5,33,8,113,6,6,14225,14225,فِي,في,,0
14225,5,33,9,113,7,6,14226,14226,ٱلۡأَرۡضِ,الأرض,,0
14226,5,33,10,113,7,6,14227,14227,فَسَادًا,فسادا,,0
14227,5,33,11,113,7,6,14228,14228,أَن,أن,,0
14228,5,33,12,113,7,6,14229,14229,يُقَتَّلُوٓاْ,يقتلوا,,0
14229,5,33,13,113,7,6,14230,14230,أَوۡ,أو,,0
14230,5,33,14,113,7,6,14231,14231,يُصَلَّبُوٓاْ,يصلبوا,,0
14231,5,33,15,113,7,6,14232,14232,أَوۡ,أو,,0
14232,5,33,16,113,7,6,14233,14233,تُقَطَّعَ,تقطع,,0
14233,5,33,17,113,7,6,14234,14234,أَيۡدِيهِمۡ,أيديهم,,0
14234,5,33,18,113,8,6,14235,14235,وَأَرۡجُلُهُم,وأرجلهم,,0
14235,5,33,19,113,8,6,14236,14236,مِّنۡ,من,,0
14236,5,33,20,113,8,6,14237,14237,خِلَٰفٍ,خلاف,,0
14237,5,33,21,113,8,6,14238,14238,أَوۡ,أو,,0
14238,5,33,22,113,8,6,14239,14239,يُنفَوۡاْ,ينفوا,,0
14239,5,33,23,113,8,6,14240,14240,مِنَ,من,,0
14240,5,33,24,113,8,6,14241,14241,ٱلۡأَرۡضِ,الأرض,waqf:after:ۚ,0
14241,5,33,25,113,8,6,14242,14242,ذَٰلِكَ,ذلك,,0
14242,5,33,26,113,9,6,14243,14243,لَهُمۡ,لهم,,0
14243,5,33,27,113,9,6,14244,14244,خِزۡيࣱ,خزي,,0
14244,5,33,28,113,9,6,14245,14245,فِي,في,,0
14245,5,33,29,113,9,6,14246,14246,ٱلدُّنۡيَا,الدنيا,waqf:after:ۖ,0
14246,5,33,30,113,9,6,14247,14247,وَلَهُمۡ,ولهم,,0
14247,5,33,31,113,9,6,14248,14248,فِي,في,,0
14248,5,33,32,113,9,6,14249,14249,ٱلۡأٓخِرَةِ,الآخرة,,0
14249,5,33,33,113,9,6,14250,14250,عَذَابٌ,عذاب,,0
14250,5,33,34,113,9,6,14251,14251,عَظِيمٌ,عظيم,,0
14251,5,34,1,113,10,6,14252,14252,إِلَّا,إلا,,0
14252,5,34,2,113,10,6,14253,14253,ٱلَّذِينَ,الذين,,0
14253,5,34,3,113,10,6,14254,14254,تَابُواْ,تابوا,,0
14254,5,34,4,113,10,6,14255,14255,مِن,من,,0
14255,5,34,5,113,10,6,14256,14256,قَبۡلِ,قبل,,0
14256,5,34,6,113,10,6,14257,14257,أَن,أن,,0
14257,5,34,7,113,10,6,14258,14258,تَقۡدِرُواْ,تقدروا,,0
14258,5,34,8,113,10,6,14259,14259,عَلَيۡهِمۡ,عليهم,waqf:after:ۖ,0
14259,5,34,9,113,10,6,14260,14260,فَٱعۡلَمُوٓاْ,فاعلموا,,0
14260,5,34,10,113,11,6,14261,14261,أَنَّ,أن,,0
14261,5,34,11,113,11,6,14262,14262,ٱللَّهَ,الله,,0
14262,5,34,12,113,11,6,14263,14263,غَفُورࣱ,غفور,,0
14263,5,34,13,113,11,6,14264,14264,رَّحِيمࣱ,رحيم,,0
14264,5,35,1,113,11,6,14265,14265,يَٰٓأَيُّهَا,ياأيها,,0
14265,5,35,2,113,11,6,14266,14266,ٱلَّذِينَ,الذين,,0
14266,5,35,3,113,11,6,14267,14267,ءَامَنُواْ,آمنوا,,0
14267,5,35,4,113,11,6,14268,14268,ٱتَّقُواْ,اتقوا,,0
14268,5,35,5,113,12,6,14269,14269,ٱللَّهَ,الله,,0
14269,5,35,6,113,12,6,14270,14270,وَٱبۡتَغُوٓاْ,وابتغوا,,0
14270,5,35,7,113,12,6,14271,14271,إِلَيۡهِ,إليه,,0
14271,5,35,8,113,12,6,14272,14272,ٱلۡوَسِيلَةَ,الوسيلة,,0
14272,5,35,9,113,12,6,14273,14273,وَجَٰهِدُواْ,وجاهدوا,,0
14273,5,35,10,113,12,6,14274,14274,فِي,في,,0
14274,5,35,11,113,12,6,14275,14275,سَبِيلِهِۦ,سبيله,,0
14275,5,35,12,113,13,6,14276,14276,لَعَلَّكُمۡ,لعلكم,,0
14276,5,35,13,113,13,6,14277,14277,تُفۡلِحُونَ,تفلحون,,0
14277,5,36,1,113,13,6,14278,14278,إِنَّ,إن,,0
14278,5,36,2,113,13,6,14279,14279,ٱلَّذِينَ,الذين,,0
14279,5,36,3,113,13,6,14280,14280,كَفَرُواْ,كفروا,,0
14280,5,36,4,113,13,6,14281,14281,لَوۡ,لو,,0
14281,5,36,5,113,13,6,14282,14282,أَنَّ,أن,,0
14282,5,36,6,113,13,6,14283,14283,لَهُم,لهم,,0
14283,5,36,7,113,14,6,14284,14284,مَّا,ما,,0
14284,5,36,8,113,14,6,14285,14285,فِي,في,,0
14285,5,36,9,113,14,6,14286,14286,ٱلۡأَرۡضِ,الأرض,,0
14286,5,36,10,113,14,6,14287,14287,جَمِيعࣰا,جميعا,,0
14287,5,36,11,113,14,6,14288,14288,وَمِثۡلَهُۥ,ومثله,,0
14288,5,36,12,113,14,6,14289,14289,مَعَهُۥ,معه,,0
14289,5,36,13,113,14,6,14290,14290,لِيَفۡتَدُواْ,ليفتدوا,,0
14290,5,36,14,113,14,6,14291,14291,بِهِۦ,به,,0
14291,5,36,15,113,14,6,14292,14292,مِنۡ,من,,0
14292,5,36,16,113,15,6,14293,14293,عَذَابِ,عذاب,,0
14293,5,36,17,113,15,6,14294,14294,يَوۡمِ,يوم,,0
14294,5,36,18,113,15,6,14295,14295,ٱلۡقِيَٰمَةِ,القيامة,,0
14295,5,36,19,113,15,6,14296,14296,مَا,ما,,0
14296,5,36,20,113,15,6,14297,14297,تُقُبِّلَ,تقبل,,0
14297,5,36,21,113,15,6,14298,14298,مِنۡهُمۡ,منهم,waqf:after:ۖ,0
14298,5,36,22,113,15,6,14299,14299,وَلَهُمۡ,ولهم,,0
14299,5,36,23,113,15,6,14300,14300,عَذَابٌ,عذاب,,0
14300,5,36,24,113,15,6,14301,14301,أَلِيمࣱ,أليم,,0
14301,5,37,1,114,1,6,14302,14302,يُرِيدُونَ,يريدون,,0
14302,5,37,2,114,1,6,14303,14303,أَن,أن,,0
14303,5,37,3,114,1,6,14304,14304,يَخۡرُجُواْ,يخرجوا,,0
14304,5,37,4,114,1,6,14305,14305,مِنَ,من,,0
14305,5,37,5,114,1,6,14306,14306,ٱلنَّارِ,النار,,0
14306,5,37,6,114,1,6,14307,14307,وَمَا,وما,,0
14307,5,37,7,114,1,6,14308,14308,هُم,هم,,0
14308,5,37,8,114,1,6,14309,14309,بِخَٰرِجِينَ,بخارجين,,0
14309,5,37,9,114,1,6,14310,14310,مِنۡهَا,منها,waqf:after:ۖ,0
14310,5,37,10,114,2,6,14311,14311,وَلَهُمۡ,ولهم,,0
14311,5,37,11,114,2,6,14312,14312,عَذَابࣱ,عذاب,,0
14312,5,37,12,114,2,6,14313,14313,مُّقِيمࣱ,مقيم,,0
14313,5,38,1,114,2,6,14314,14314,وَٱلسَّارِقُ,والسارق,,0
14314,5,38,2,114,2,6,14315,14315,وَٱلسَّارِقَةُ,والسارقة,,0
14315,5,38,3,114,2,6,14316,14316,فَٱقۡطَعُوٓاْ,فاقطعوا,,0
14316,5,38,4,114,3,6,14317,14317,أَيۡدِيَهُمَا,أيديهما,,0
14317,5,38,5,114,3,6,14318,14318,جَزَآءَۢ,جزاء,,0
14318,5,38,6,114,3,6,14319,14319,بِمَا,بما,,0
14319,5,38,7,114,3,6,14320,14320,كَسَبَا,كسبا,,0
14320,5,38,8,114,3,6,14321,14321,نَكَٰلࣰا,نكالا,,0
14321,5,38,9,114,3,6,14322,14322,مِّنَ,من,,0
14322,5,38,10,114,3,6,14323,14323,ٱللَّهِ,الله,waqf:after:ۗ,0
14323,5,38,11,114,3,6,14324,14324,وَٱللَّهُ,والله,,0
14324,5,38,12,114,3,6,14325,14325,عَزِيزٌ,عزيز,,0
14325,5,38,13,114,4,6,14326,14326,حَكِيمࣱ,حكيم,,0
14326,5,39,1,114,4,6,14327,14327,فَمَن,فمن,,0
14327,5,39,2,114,4,6,14328,14328,تَابَ,تاب,,0
14328,5,39,3,114,4,6,14329,14329,مِنۢ,من,,0
14329,5,39,4,114,4,6,14330,14330,بَعۡدِ,بعد,,0
14330,5,39,5,114,4,6,14331,14331,ظُلۡمِهِۦ,ظلمه,,0
14331,5,39,6,114,4,6,14332,14332,وَأَصۡلَحَ,وأصلح,,0
14332,5,39,7,114,4,6,14333,14333,فَإِنَّ,فإن,,0
14333,5,39,8,114,4,6,14334,14334,ٱللَّهَ,الله,,0
14334,5,39,9,114,5,6,14335,14335,يَتُوبُ,يتوب,,0
14335,5,39,10,114,5,6,14336,14336,عَلَيۡهِ,عليه,waqf:after:ۚ,0
14336,5,39,11,114,5,6,14337,14337,إِنَّ,إن,,0
14337,5,39,12,114,5,6,14338,14338,ٱللَّهَ,الله,,0
14338,5,39,13,114,5,6,14339,14339,غَفُورࣱ,غفور,,0
14339,5,39,14,114,5,6,14340,14340,رَّحِيمٌ,رحيم,,0
14340,5,40,1,114,5,6,14341,14341,أَلَمۡ,ألم,,0
14341,5,40,2,114,5,6,14342,14342,تَعۡلَمۡ,تعلم,,0
14342,5,40,3,114,5,6,14343,14343,أَنَّ,أن,,0
14343,5,40,4,114,5,6,14344,14344,ٱللَّهَ,الله,,0
14344,5,40,5,114,6,6,14345,14345,لَهُۥ,له,,0
14345,5,40,6,114,6,6,14346,14346,مُلۡكُ,ملك,,0
14346,5,40,7,114,6,6,14347,14347,ٱلسَّمَٰوَٰتِ,السموات,,0
14347,5,40,8,114,6,6,14348,14348,وَٱلۡأَرۡضِ,والأرض,,0
14348,5,40,9,114,6,6,14349,14349,يُعَذِّبُ,يعذب,,0
14349,5,40,10,114,6,6,14350,14350,مَن,من,,0
14350,5,40,11,114,6,6,14351,14351,يَشَآءُ,يشاء,,0
14351,5,40,12,114,6,6,14352,14352,وَيَغۡفِرُ,ويغفر,,0
14352,5,40,13,114,7,6,14353,14353,لِمَن,لمن,,0
14353,5,40,14,114,7,6,14354,14354,يَشَآءُ,يشاء,waqf:after:ۗ,0
14354,5,40,15,114,7,6,14355,14355,وَٱللَّهُ,والله,,0
14355,5,40,16,114,7,6,14356,14356,عَلَىٰ,على,,0
14356,5,40,17,114,7,6,14357,14357,كُلِّ,كل,,0
14357,5,40,18,114,7,6,14358,14358,شَيۡءࣲ,شيء,,0
14358,5,40,19,114,7,6,14359,14359,قَدِيرࣱ,قدير,,0
14359,5,41,1,114,7,6,14360,14360,يَٰٓأَيُّهَا,ياأيها,division:before:۞,0
14360,5,41,2,114,8,6,14361,14361,ٱلرَّسُولُ,الرسول,,0
14361,5,41,3,114,8,6,14362,14362,لَا,لا,,0
14362,5,41,4,114,8,6,14363,14363,يَحۡزُنكَ,يحزنك,,0
14363,5,41,5,114,8,6,14364,14364,ٱلَّذِينَ,الذين,,0
14364,5,41,6,114,8,6,14365,14365,يُسَٰرِعُونَ,يسارعون,,0
14365,5,41,7,114,8,6,14366,14366,فِي,في,,0
14366,5,41,8,114,8,6,14367,14367,ٱلۡكُفۡرِ,الكفر,,0
14367,5,41,9,114,8,6,14368,14368,مِنَ,من,,0
14368,5,41,10,114,9,6,14369,14369,ٱلَّذِينَ,الذين,,0
14369,5,41,11,114,9,6,14370,14370,قَالُوٓاْ,قالوا,,0
14370,5,41,12,114,9,6,14371,14371,ءَامَنَّا,آمنا,,0
14371,5,41,13,114,9,6,14372,14372,بِأَفۡوَٰهِهِمۡ,بأفواههم,,0
14372,5,41,14,114,9,6,14373,14373,وَلَمۡ,ولم,,0
14373,5,41,15,114,9,6,14374,14374,تُؤۡمِن,تؤمن,,0
14374,5,41,16,114,9,6,14375,14375,قُلُوبُهُمۡ,قلوبهم,waqf:after:ۛ,0
14375,5,41,17,114,9,6,14376,14376,وَمِنَ,ومن,,0
14376,5,41,18,114,10,6,14377,14377,ٱلَّذِينَ,الذين,,0
14377,5,41,19,114,10,6,14378,14378,هَادُواْ,هادوا,waqf:after:ۛ,0
14378,5,41,20,114,10,6,14379,14379,سَمَّٰعُونَ,سماعون,,0
14379,5,41,21,114,10,6,14380,14380,لِلۡكَذِبِ,للكذب,,0
14380,5,41,22,114,10,6,14381,14381,سَمَّٰعُونَ,سماعون,,0
14381,5,41,23,114,10,6,14382,14382,لِقَوۡمٍ,لقوم,,0
14382,5,41,24,114,11,6,14383,14383,ءَاخَرِينَ,آخرين,,0
14383,5,41,25,114,11,6,14384,14384,لَمۡ,لم,,0
14384,5,41,26,114,11,6,14385,14385,يَأۡتُوكَ,يأتوك,waqf:after:ۖ,0
14385,5,41,27,114,11,6,14386,14386,يُحَرِّفُونَ,يحرفون,,0
14386,5,41,28,114,11,6,14387,14387,ٱلۡكَلِمَ,الكلم,,0
14387,5,41,29,114,11,6,14388,14388,مِنۢ,من,,0
14388,5,41,30,114,11,6,14389,14389,بَعۡدِ,بعد,,0
14389,5,41,31,114,11,6,14390,14390,مَوَاضِعِهِۦ,مواضعه,waqf:after:ۖ,0
14390,5,41,32,114,12,6,14391,14391,يَقُولُونَ,يقولون,,0
14391,5,41,33,114,12,6,14392,14392,إِنۡ,إن,,0
14392,5,41,34,114,12,6,14393,14393,أُوتِيتُمۡ,أوتيتم,,0
14393,5,41,35,114,12,6,14394,14394,هَٰذَا,هذا,,0
14394,5,41,36,114,12,6,14395,14395,فَخُذُوهُ,فخذوه,,0
14395,5,41,37,114,12,6,14396,14396,وَإِن,وإن,,0
14396,5,41,38,114,12,6,14397,14397,لَّمۡ,لم,,0
14397,5,41,39,114,12,6,14398,14398,تُؤۡتَوۡهُ,تؤتوه,,0
14398,5,41,40,114,13,6,14399,14399,فَٱحۡذَرُواْ,فاحذروا,waqf:after:ۚ,0
14399,5,41,41,114,13,6,14400,14400,وَمَن,ومن,,0
14400,5,41,42,114,13,6,14401,14401,يُرِدِ,يرد,,0
14401,5,41,43,114,13,6,14402,14402,ٱللَّهُ,الله,,0
14402,5,41,44,114,13,6,14403,14403,فِتۡنَتَهُۥ,فتنته,,0
14403,5,41,45,114,13,6,14404,14404,فَلَن,فلن,,0
14404,5,41,46,114,13,6,14405,14405,تَمۡلِكَ,تملك,,0
14405,5,41,47,114,13,6,14406,14406,لَهُۥ,له,,0
14406,5,41,48,114,13,6,14407,14407,مِنَ,من,,0
14407,5,41,49,114,13,6,14408,14408,ٱللَّهِ,الله,,0
14408,5,41,50,114,14,6,14409,14409,شَيۡـًٔا,شيئا,waqf:after:ۚ,0
14409,5,41,51,114,14,6,14410,14410,أُوْلَٰٓئِكَ,أولئك,,0
14410,5,41,52,114,14,6,14411,14411,ٱلَّذِينَ,الذين,,0
14411,5,41,53,114,14,6,14412,14412,لَمۡ,لم,,0
14412,5,41,54,114,14,6,14413,14413,يُرِدِ,يرد,,0
14413,5,41,55,114,14,6,14414,14414,ٱللَّهُ,الله,,0
14414,5,41,56,114,14,6,14415,14415,أَن,أن,,0
14415,5,41,57,114,14,6,14416,14416,يُطَهِّرَ,يطهر,,0
14416,5,41,58,114,14,6,14417,14417,قُلُوبَهُمۡ,قلوبهم,waqf:after:ۚ,0
14417,5,41,59,114,14,6,14418,14418,لَهُمۡ,لهم,,0
14418,5,41,60,114,15,6,14419,14419,فِي,في,,0
14419,5,41,61,114,15,6,14420,14420,ٱلدُّنۡيَا,الدنيا,,0
14420,5,41,62,114,15,6,14421,14421,خِزۡيࣱ,خزي,waqf:after:ۖ,0
14421,5,41,63,114,15,6,14422,14422,وَلَهُمۡ,ولهم,,0
14422,5,41,64,114,15,6,14423,14423,فِي,في,,0
14423,5,41,65,114,15,6,14424,14424,ٱلۡأٓخِرَةِ,الآخرة,,0
14424,5,41,66,114,15,6,14425,14425,عَذَابٌ,عذاب,,0
